Name,Course,Description,,,,,,,,,
Fundamentals of Audio for Engineers,DES501,"In this course students learn the basic concepts of audio, acoustics and electronics, and how they can be applied to understand generation, processing, storing and distribution of audio signal. Topics include: sound waves, ear and hearing, musical sound, basic electronics. The course will be beneficial for students planning for a career in media and entertainment Industry.This course can be a pre-requisite course for Digital Audio - (Procedural Game Audio, Algorithmic Composition & Sound Synthesis)",,,,,,,,,
Machine Learning for Biomedical Applications,BIO542,This course is designed for students having wide range of background like biology; medical science; pharmacology; bioinformatics; computer science. This course is divided in following three sections; i) Major challenges in the field of biomedical science; ii) Introduction/implementation of machine learning techniques for developing prediction models; and iii) solving biomedical problems using machine learning techniques. This course will be help students in developing novel methods for solving real-life problems in the field of biological and health sciences. Attempt will made to bridge gap between students and world class researchers; studentds will be exposed to highly accurate methods based on machine learning techniques (research papers).,,,,,,,,,
Big Data Mining in Healthcare,BIO543,"There is a exponential growth of data in the field of biological, medical and clinical scineces. Aim of this course is to taught implementation of data mining techniques in healthcare, to solve health-related problems. In this course, students will learn techniques for managing and mining big data. It will be broadly divided in four parts; first part will cover various repositories or databases in the field of medical and biological data. In second part, students will be introduced with techniques comonly used to analyze and manage big data. Implementation of techniques using Python will be covered in third phase of this course. Finally, students will learn how to solve health-related problems using knowldge based discovery approach.",,,,,,,,,
Solid State Devices,ECE318,This course provides fundamental knowledge required for many other courses in Analog; digital and Mixed signal IC design (Analog CMOS Circuit Design; Mixed Signal Design; Low Power Design and Digital VLSI Design). The course starts with an overview of semiconductors and their conduction mechanism. Then explains PN junction formation and operation of various types of two terminal semiconductor devices and BJTs. The discussion will be extended to MOSCAP and MOSFETs; which are very important elements in the modern IC design. In addition MOSFET short channel effects will also be explained as they are becoming highly significant with technology scaling. Fabrication process will also be covered.,,,,,,,,,
Introduction to Spatial Computing,CSE555,"This course introduces fundamental ideas underlying geo-spatial science, systems and services. These include spatial concepts and data models, spatial query languages, spatial storage and indexing, query processing and optimization, spatial networks, spatial data mining. Some future research trends in spatial computing would also be covered.",,,,,,,,,
Statistical Computation,CSE609,The objective of this course is to provide knowledge about concepts and methods of statistical analysis. Data can be generated by machine or manually collected during surveys. All kinds of data-sets need analysis to the point such that we can make conclusions about the trend in the data. Hence statistical modelling and inference is often needed. Recently multiple kinds of statistical modelling approach have been suggested. Some statistical methods have been implemented as tools while some are implemented by users according to need of data-analysis. This course would provide the basics of statistical inference and methods introducing some computational techniques to perform modelling of systems. Through this course student will also learn about weakness and strength of such statistical modelling methods which could guide them to distinguish or develop suitable analysis techniques.,,,,,,,,,
"Systems Analysis, Design and Requirements Engineering",CSE581,"System analysis, design and requirements engineering course deals with planning the development of software systems through analysing, understanding, specifying and designing the different components of the software system and how they work together. Software development teams usually solve business problems through analyzing the requirements and designing systems by applying analysis and design techniques. This course deals with the concepts, skills, taxonomies, techniques, theories, and cognitive perspectives essential for the same. Students would understand various theories of software engineering and apply them in analyzing and designing software systems. Requirements derived will be used to develop abstraction of user-centered designs at conceptual level with focus on human psychological (cognitive) aspects. Emphasis is mainly placed on the various software engineering process theories and taxonomies that would help explain and understand (and sometimes predict) how and when an (SE) entity changes and develops.",,,,,,,,,
Software Production Evolution and Maintenance,CSE582,"Most of the software products developed today are a collection of closely coupled software applications that fulfills multiple user needs at once. Software product line paradigm is a useful approach while developing multiple software products that share common functional and quality requirements. It facilitates efficient development, production, and mass customization of software-intensive systems and software products by using a set of software subsystems and interfaces that form a common structure. However, the development and the delivery of software product is only a part of the story. Software teams should work hard to continuously improve the software applications based on the changing requirements as well as preserve them from failure of decline. While the former is called software evolution, the latter is called software maintenance. This course will guide students to develop and maintain large scale software products by providing theoretical and practical aspects of software product line paradigm as well as software evolution and maintenance.",,,,,,,,,
Operating Systems,CSE231,"Operating system is the interface between the hardware and the user; it is responsible for the management and coordination of activities and the sharing of the resources of the computer. Operating system offers a number of services to application programs and users. Applications access these services through application programming interfaces (APIs) or system calls. By invoking these interfaces, the application can request a service from the operating system, pass parameters, and receive the results of the operation. The course on Operating System has two components: theory and programming. Theory component covers the underline concepts and principles of operating system whereas programming component involves the practical implementation of theoretical concepts.",,,,,,,,,
Networks and System Security II,CSE354/CSE554,"This course derives is sequel to the Networks and Systems Security (CSE352/552) that was taught in Winter 2019. The core theoretical concepts build up on where Networks and System Security left. However, a significant volume of the course material focuses largely on hands-on networks and systems security tools, and how to use them to exploit network and system vulnerabilities, besides the traditional system development exercises.",,,,,,,,,
Introduction to Computational Neuroscience,BIO534,This introductory neuroscience provides basic understanding of neuronal systems and their respective mathematical models that describes the behavior of the neurons under various conditions. The aim of this course is to encourage Computational biology students to diversify into the area of neuroscience. This course in not about neural networks and machine learning; but about the use of the tools of dynamical systems theory toundertand oscillatory properties of single cell neurons. Nonlinear ODE and PDE models will be constructed; analyzed and simulated using MATLAB to understand different firing patterns of the neuronal systems under normal and pathalogical conditions.,,,,,,,,,
Relevance of Intellectual Property for Startups,ENT414,"In the 1980s tangible assets constituted more than 80% of the company's total assets but in 2020 the scenario is upside down. Now more than 80% of company's assets are intangible, indicating that Intellectual Property Management is a necessity rather than a luxury. Technology innovation is not merely a disrupter, but a leveler as well- strategically managed IP is a tool for a small company to take on a MNC. If we look at the evolution of contemporary big companies, we realize that one thing was common- they not only did innovation, but secured it through tools available in the IPR System. All these successful companies gave a clear message to the startups that if you don't not recognize and value its creations- it will not sustain in the long-term. A startup is an important tool to transform the value to the society in form of products and services.",,,,,,,,,
Virtual Reality,CSE570,rendering; geometric modelling; display optics; sensors and tracking; vestibular systems and interface design. Advancedareas of VR including telepresence; procedural modelling of large virtual worlds; and designing multi-model interactionsand interfaces for VR will also be discussed. This will be a project-based course using game engine based VRdevelopment.,,,,,,,,,
Foundations of Computer Security,CSE345/CSE545,"This course provides a principled introduction to techniques for defending against hostile adversaries in modern computer systems and computer networks. Topics covered in the course include Threat modeling; ACL mechanism, Access control list; Access Control; Matrix Types of ACL; network security, including cryptography and cryptographic protocols, firewalls, and network denial-of-service attacks and defenses; Crime-ware addressing issues like phishing, malware, social engineering; Auditing; Multilevel and multi-lateral security Information flow control, MAC, MLS; Security protocols. More advanced topics will additionally be covered as time permits, such as: Program Security; techniques to provide privacy in Internet applications; and protecting digital content (music, video, software) from unintended use.",,,,,,,,,
Network Anonymity and Privacy,CSE749,"Historical network anonymity and privacy protocols – MIXes and MIXnets, various theoretical and practical attack strategies against high and low-latency anonymity networks, practical traffic analysis against modern anonymity systems like Tor, Freenet, GNUnet, JAP, defenses against traffic analysis attacks, performance vs anonymity trade-offs, side-channel attacks, covert channel communications, pseudonymity and privacy, Anonymous P2P communication systems (e.g. Oneswarm), traffic analysis against anonymous VoIP communications, Internet censorship and censorship resistance tools and strategies, large-scale Internet surveillance and anti-surveillance, decoy routing.",,,,,,,,,
Parallel Runtimes for Modern Processors,CSE513,"Computing hardware is becoming more and more complex. Today and in the foreseeable future, performance will be delivered principally by increased hardware parallelism. Modern multicore processors scale to over one hundred cores, have wide vector units, maintain a complex memory hierarchy and even share the memory with accelerators such as GPU. Conventional programming models using threads impose significant complexity to organize code into multiple threads of control and balance work amongst threads to ensure proper utilization of computing resources. This shortcoming has helped the advent of parallel runtimes that assist the programmer by efficiently scheduling the parallel tasks over available resources. This course introduces the design and implementation of such a parallel runtime and explores the challenges in achieving performance and energy efficiency over modern processors.",,,,,,,,,
Multimedia Computing and Applications,CSE563,"By the end of the course, the students will be familiar with the common computing fundamentals employed in a variety of multimedia and social media applications such as content-based multimedia processing, mining, retrieval and summarization, multimodal-based semantic and sentiment detection, and recommendations on social networks. The students will be exposed to the core techniques and algorithms spanning across the common and emerging multimedia applications such as the analysis of social media contents, users and their social relationships, and multimodal semantic and sentiment analysis. They will have experience in applying these techniques to novel situations and will be able to do analytical as well as empirical performance evaluation of the particular technique in the overall application context.",,,,,,,,,
Linear Optimization,MTH374/MTH574,"This course aims at introducing students to the application of optimization techniques to various areas of CSE and ECE. We will primarily focus on linear optimization (linear programming) and learn about the structural and algorithmic aspects of optimization problems. The theoretical assignments will aim at developing the necessary skills for analysing algorithms and formulation of LPs. Computational assignments will complement the theory by modeling real-world problems as linear programs and solve them using publicly available solvers. Towards the end of the course, we will briefly discuss convex programs and semi-definite programs (SDPs) with real-world applications and point to some of the existing solvers for this class of problems.",,,,,,,,,
Object Oriented Programming and Design,CSE600A/ECE600A,"It is a 2 credit postgraduate level core course in advanced object oriented programming, designed to improve programming skills, and ability to use contemporary software development practices and tools. The course curriculum focuses on large software development, collaborative development environment, automatic testing and deployment, common libraries and continuous integration. It also aims to enhance the quality of design in terms of scalability and maintainability with design principles and design patterns. Along with course, students get an opportunity to learn development tools like IDEs and common frameworks.",,,,,,,,,
Computer Graphics,CSE333/CSE533,"This course will provide basic concepts of computer graphics including necessary mathematics and algorithms. Primary focus of this course will be to understand the basics of 2D/3D rendering. The course will also cover various aspects of the rendering pipeline and realistic image synthesis using raytracing. The standard shader based OpenGL rendering API will be introduced, and used with lab exercises, assignments, and projects. The students will learn building complete graphics systems through projects.",,,,,,,,,
Network Science,CSE655,The objective of this course is to provide introduction to network science; an emerging interdisciplinary discipline with applications to vario,,,,,,,,,
Introduction to Mathematical Logic,MTH300,"This is an introductory course in mathematical logic. The subject is of interest to students in both Mathematics and Computer Science. Topics covered include propositional logic, first order logic, consistency, satisfiability, soundness, completeness, and compactness. We will also discuss some basic set theory and axiomatic number theory (Peano's arithmetic). If time permits we will discuss the famous incompleteness theorems of Gödel.",,,,,,,,,
Programmable Networking,CSE567,"There has been a massive revolution in networking research in the last decade, leading to newer networking infrastructure designs that are highly performant, scalable, and flexible. This evolution has opened up exciting opportunities for both networking and non-networking application domains. This course will discuss networking advancements such as Software-defined Networks (SDN), programmable network hardware such as smartNICs and programmable switches, kernel bypass networking, RDMA, and high-speed host network stacks. We will discuss a few seminal research papers to understand each networking design advancement.",,,,,,,,,
Network Administration,CSE233,This course is intended for second year B.Tech students; who wish to improve skills through hands-on experience in network administration. This course is a follow up of the course on System Administration. Students’; who successfully complete these courses; will be offered part-time work for System and Network Admin in the institute and will be expected to work for at least two semesters.,,,,,,,,,
Mobile Computing,CSE535,The course prepares and trains the students to program mobile devices with understanding on constaints and opportunites that mobile devices offer. This course will cover challenges in mobile systems. It will also cover latest research in the field of Mobile Computing.,,,,,,,,,
Biomedical Image processing,BIO524,"The Biomedical image processing course is meant to impart knowledge on medical and biomolecular imaging. The course introduces physical, engineering and signal processing principles needed for medical imaging and image processing. The primary focus of this course will be computational image processing methods. This course covers topics on analysis of medical images from different types of sources such as planar x-ray, x-ray computed tomography (CT), magnetic resonance imaging (MRI), nuclear medicine imaging - positron emission tomography (PET), light and confocal microscopy and electron microscopy. Students will also gain hands on experience with medical image processing software to process CT or MRI scans and construct 3D models from microscopic images.",,,,,,,,,
Applied Optimization Methods for Machine Learning,ECE666,"In this course, we will discuss the foundations required for solving optimization problems in the context of machine learning through various case-studies/running-examples. This course will cover basics of linear algebra required for learning optimization theory. Further, this course provides a platform to set up an optimization problem, which could be linear and nonlinear; unconstrained and constrained; convex and non-convex; continuous and discrete; deterministic and stochastic. We also cover the machine learning based context of different topics.",,,,,,,,,
Affective Computing,CSE661/DES507,"Affective Computing focuses on enabling the machines with emotion recognition and adaptive interaction. It lies in the intersection of Computer Science, design and human Psychology. This course will overview the emotion theory, computational modelling of emotions, analysis of emotions using different modalities (such as voice, facial expressions, physiological signals etc) and related machine learning and/or signal processing techniques. We will also discuss ethical, legal and social implications of affective computing particulary in relation to Human-Machine Interaction.",,,,,,,,,
Optical Networking,ECE536s,To equip students with understanding of optical core networking systems. To study the architecture used in the networks and the different technologies used for optical core networks. Study the algorithms/schemes used for routing and wavelength assignment (RWA) and routing and spectrum allocation (RSA).Challenging issues in optical core networks.,,,,,,,,,
Big Data Analytics,CSE557,"Distributed processing frameworks have emerged as a feasible and cost effective way of analyzing the increasing volume of data. This course provides an understanding of most popular distributed processing frameworks – Hadoop, Spark and Giraph. Example Applications will include Graph Analysis algorithms such as BFS, Page Rank, Finding Graph Patterns; Finding Similar Items, Mining Algorithms such as Clustering, Frequent Itemsets, Data Streams. Hands-on exercises will prepare those taking this course to be able to apply these frameworks in practice.",,,,,,,,,
GPU Computing,CSE560,This course will introduce parallel computing paradigms with focus on GPGPU programming to harness the massively parallel GPUarchitecture in solving computationally demanding tasks. The NVIDIA CUDA and industry standard OpenCL frameworks will beintroduced and used with most of the labs. This is a project based course where the students will work on scientific computationalproblems.,,,,,,,,,
Information Integration and Applications,CSE656,"Strictly typed data in an enterprise can be meaningfully decomposed at a fine granularity and stored in a relational database. Such data is mostly operational business data (e.g. sales, accounting, payroll, inventory), and has been the mainstay of database systems since their inception. Enterprises have gathered this information (based on the view defined) from multiple data sources and stored it in a central repository, called data warehousing, for decision support functionalities and data analysis. This kind of analysis is best-suited when the support for decision making is based on the historical or point-in-time view of the business, not on a (near) real-time view and/or knowledge. Since the “structured” data constitutes only a fraction of the entire information content within an enterprise, which also includes “unstructured” content like reports, email, meeting minutes, web-pages etc, the enterprises are now realizing to integrate their entire information sources across structured and unstructured data sources. The objective of this course is to cover the various methods of integrating homogeneous and heterogeneous information (structured/semi-structured (XML) and unstructured) through schema integration (virtual and materialized), entity extraction and matching, etc. This course will be equally focused on implementation and developing an application to demonstrate the leaned techniques for new ways to integration information. These technologies will be useful in several information integration applications domains, such as financial services, retails, telcos, social analytics, legal and compliance, and customer relationship management. These applications may require integration of information (in real-time) based on events and business policies.",,,,,,,,,
Practical Bioinformatics,BIO221,"This objective of this course is to provide introduction to modern biology, data-oriented questions, and training in application of computational techniques for data analysis. Apart from providing conceptual understanding of important topics in bioinformatics, the focus is on hands-on training in implementation of techniques. Through combination of lectures, exercises, assignments and presentations, the student is expected to achieve practical understanding of bioinformatics techniques.",,,,,,,,,
Geometry Processing,CSE5GP,This course is about providing a structured learning of digital shape representation and processing. 3D shapes around us can be acquired through various means. We will learn about data structures to efficiently store these shapes in digital form; theoretical background to understand various properties of curves and surfaces; analysis and editing of shapes. Understanding geometric representations and manipulations have wide applications in scientific simulations; spatial data analysis; CAD/CAM; computer game develepment; medical imaging; computer vision; and 3D printing.,,,,,,,,,
"Inclusive Design, Universal Design & Accessibility",DES522,"Inclusive Design is a methodology that enables and draws on the full range of human diversity i.e. including and learning from people with a range of perspectives. The objective of this project-based course is to learn about the background, principles and purpose of inclusive design, accessibility and universal design. The students will learn the process of inclusive design, how to think in an 'inclusive' way and apply that knowledge to a group project. Assistive technologies and multi-sensory interaction technologies are primarily aimed at including braoder range of users and these kind of solutions are needed for creating more accessible environment and experiences. By the end of the course, the students will be able to critique the accessibility of existing design solutions and be able to improve them by considering these features. They will also be able to include more users and different user perspectives in their design thinking process.",,,,,,,,,
Design Futures,DES509,"This course will provide a theoretical and practical understanding of an emerging discipline in Human-Computer Interaction (HCI) known as Design Furtures (aka Speculative Design and Critical Design Fiction). Students will read and critique case studies from the Design Futures corpus. There will be studio time for developing skills in creating future scenarios, making future prototypes, and creating design fiction videos that depict the implications and consequences, both postive and negative, of future design scenarios. This is a studio course held once per week in a 3 hour block that will combine both discussion and practical exercises.",,,,,,,,,
Introduction to 3D Production Design for Animation and Games,DES516,This course introduces students to: (i) Introduction to Geometrical and objective Drawing (ii) Basics and fundamental of Design for Animation (iii) Designing assets and character for Animation and Game (iv) Exporting Assets to Game Engines,,,,,,,,,
Introduction to 2D Animation,DES502,This course introduces students to: (i) Understanding Storytelling and Animation (ii) Understanding Basic principle for 2D Animation (iii) Workflow of 2D Animation Production (iv) Creating 2D Animated Short Story,,,,,,,,,
Advanced topics in Human Centered Computing (ATHCC),DES506,"The course provides an advanced level undertstanding of current-day HCC frameworks and research methodologies. The aim of the course is to develop ability to conduct research in the area of HCC. During the course, the students will learn about existing frameworks and research methodologies that are currently used and also how to apply them.",,,,,,,,,
Special Topics in Computer Vision,CSE662A,This is an advanced course on Computer Vision offered to undergraduate and graduate students. The goal is to develop an understanding of a few selected topics in computer vision and enable students to understand and develop applications using existing tools. Students will be given theoretical and programming assignments targeted towards solving real-world computer vision problems.,,,,,,,,,
Memory Design and Testing,ECE611,"This circuit design course brings students face to face with the challenges in designing a Memory Block. The course will introduce the challenges in designing the most commonly used 6T SRAM cell and then the peripheral circuits like sense amplifiers, decoders, write drivers etc. The course then introduces the cache hierarchy. Then the design specificities linked to DRAM design and NVM Design are covered. The last part of the course introduces the memory test methods, including BIST and test features in embedded memories. A course project using state-of-the-art computer aided design (CAD) tools in VLSI gives students hands-on exposure to design in an industrial technology/process.",,,,,,,,,
Artificial Intelligence,CSE643,"This is an introductory course in Artificial Intelligence. This course introduces the students to various search techniques, knowledge representation, reasoning, and learning.",,,,,,,,,
Theory of Modern cryptography,CSE524,"From this course, we will learn about three basic principles of Modern Cryptography: Principle 1 – Formulation of Exact Definitions, Principle 2 – Reliance on Precise Assumptions, Principle 3 – Rigorous Proofs of Security. It is very important to know how to prove the security of cryptographic systems, because we cannot guarantee any security without security proof. During classes, we will learn how to apply above principles to hash function, MAC, digital signature, symmetric encryption scheme, public key encryption scheme, pseudorandom function, Game-based Proof Techniques, Random Oracle Model,…. In addition to the above approach, we need to know NEW modern cryptography such as homomorphic encryption, multiparty computation, etc.. Each student will participate in a course project so that students may learn how modern cryptography works in real life.",,,,,,,,,
Mixed Signal Design,ECE412/ECE612,"This course teaches mixed signal circuits, which are very important bolcks in many modern processors. It covers switched capacitor circuits, comparators, different types of DACs, nyquist and over sampling ADCs.",,,,,,,,,
Digital Communication Systems,ECE340,This course will introduce students to the fundamental blocks that constitute a digital communication system. Starting with the analog to digital conversion block; the students will study the functionalities of the blocks such as Digital Modulator/ Digital Demodulator; Channel Encoder-Decoder. The performance of various digital modulation schemes in AWGN channel will also be studied. Moreover; the course will also highlight the trade-off associated with bandwidth and power for various channel coding and digital modulation schemes. The course will also lay a foundation for designing optimum receivers for digital communication system in presence of AWGN channel,,,,,,,,,
